set_name	language	kind	marked_sources	original_text	source_question_text
paraphrased_ru	rus	in_corpus	vue-interview-questions/README.md	Как компонент Vue управляет своими данными и делает их доступными для своего шаблона?	Discuss the methods property in a Vue component.
paraphrased_ru	rus	in_corpus	deep-learning-interview-questions/README.md	Теоретически искусственные нейронные сети могут научиться представлять любую функцию, если у них достаточно сложности?	What is the universal approximation theorem?
paraphrased_ru	rus	in_corpus	explainable-ai-interview-questions/README.md	В чем ключевое отличие техник, которые фокусируются на объяснении конкретных моделей, от тех, которые могут работать с любым типом модели?	How do model-specific methods differ from model-agnostic methods for explainability?
paraphrased_ru	rus	in_corpus	data-engineer-interview-questions/README.md	Как обрабатываются изменения в исторических данных хранилища данных со временем?	Describe the concept of slowly changing dimensions (SCDs) in data warehousing.
paraphrased_ru	rus	in_corpus	spring-interview-questions/README.md	Какой процесс настройки основного окружения для вашего проекта Spring?	How do you create an ApplicationContext in a Spring application?
paraphrased_ru	rus	in_corpus	express-interview-questions/README.md	Какие данные содержит объект `req.body`, и как можно получить доступ к ним в своем коде?	Describe the purpose of req.body and how you would access it.
paraphrased_ru	rus	in_corpus	fibonacci-sequence-interview-questions/README.md	Как можно создать список чисел Фибоначчи до заданной позиции без использования рекурсии?	Provide a non-recursive implementation for generating the Fibonacci sequence to the nth number.
paraphrased_ru	rus	in_corpus	data-analyst-interview-questions/README.md	В чем ключевое отличие между моделями машинного обучения, которые опираются на предположения о распределении данных, и теми, которые нет?	Describe the difference between parametric and non-parametric models.
paraphrased_ru	rus	in_corpus	git-interview-questions/README.md	Каковы шаги для создания нового проекта Git с нуля?	How do you initialize a new Git repository?
paraphrased_ru	rus	in_corpus	searching-algorithms-interview-questions/README.md	Как бы вы нашли конкретный элемент в не упорядоченном списке?	What is Linear Search (Sequential Search)?
paraphrased_ru	rus	in_corpus	jquery-interview-questions/README.md	Как с помощью jQuery выбрать веб-элемент по его уникальному идентификатору?	How would you select an element with a specific ID using jQuery?
paraphrased_ru	rus	in_corpus	aws-interview-questions/README.md	Какая платформа Amazon для запуска контейнеризованных приложений, и как она работает?	What is Amazon Elastic Container Service (ECS) and how does it work?
