set_name	language	kind	marked_sources	original_text	source_question_text
veto_headings	eng	heading	cheatsheets/ledger-examples.md	Ledger examples	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::Company	
veto_headings	eng	heading	cheatsheets/nodejs-stream.md	Node.js streams	
veto_headings	eng	heading	cheatsheets/vim-easyalign.md	Command mode	
veto_headings	eng	heading	cheatsheets/vim-digraphs.md	Vim digraphs	
veto_headings	eng	heading	cheatsheets/datetime.md	Common time formats	
veto_headings	eng	heading	cheatsheets/goby.md	Testing framework	
veto_headings	eng	heading	cheatsheets/tig.md	Shortcut keys	
veto_headings	eng	heading	cheatsheets/html-microformats.md	Microformats	
veto_headings	eng	heading	cheatsheets/phoenix-migrations.md	Phoenix: Ecto migrations	
veto_headings	eng	heading	cheatsheets/stimulus-reflex.md	Helpful tips	
veto_headings	eng	heading	cheatsheets/react-router.md	React-router	
veto_headings	eng	heading	cheatsheets/phoenix-routing.md	Phoenix: Routing	
veto_headings	eng	heading	cheatsheets/rails-i18n.md	ActiveRecord	
veto_headings	eng	heading	cheatsheets/typescript.md	Type extraction	
veto_headings	eng	heading	cheatsheets/ractive.md	Transformed attributes	
veto_headings	eng	heading	cheatsheets/ronn.md	Formatting tags	
veto_headings	eng	heading	cheatsheets/ie_bugs.md	Legacy IE bugs	
veto_headings	eng	heading	cheatsheets/ledger-csv.md	Ledger CSV format	
veto_headings	eng	heading	cheatsheets/bash.md	Miscellaneous	
veto_headings	eng	heading	cheatsheets/rails-helpers.md	Rails helpers	
veto_headings	eng	heading	cheatsheets/mocha-blanket.md	Mocha blanket	
veto_headings	eng	heading	cheatsheets/python.md	File manipulation	
veto_headings	eng	heading	cheatsheets/sass.md	Color functions	
veto_headings	eng	heading	cheatsheets/rbenv.md	Using versions	
veto_headings	eng	heading	cheatsheets/lua.md	Basic examples	
veto_headings	eng	heading	cheatsheets/package-json.md	package.json	
veto_headings	eng	heading	cheatsheets/mocha-tdd.md	Mocha.js TDD interface	
veto_headings	eng	heading	cheatsheets/underscore-string.md	Underscore-string	
veto_headings	eng	heading	cheatsheets/commander.js.md	Commander.js	
veto_headings	eng	heading	cheatsheets/umdjs.md	Universal JS module loader	
veto_headings	eng	heading	cheatsheets/ansible-modules.md	Ansible modules	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::NameDE	
veto_headings	eng	heading	cheatsheets/editorconfig.md	editorconfig	
veto_headings	eng	heading	cheatsheets/rspec.md	Writing tests	
veto_headings	eng	heading	cheatsheets/goby.md	Native class (Golang-oriented)	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::Product	
veto_headings	eng	heading	cheatsheets/typescript.md	Keyof Type Operator	
veto_headings	eng	heading	cheatsheets/spacemacs.md	Emacs standard	
veto_headings	eng	heading	cheatsheets/rst.md	ReStructuredText	
veto_headings	eng	heading	cheatsheets/layout-thrashing.md	Layout thrashing	
veto_headings	eng	heading	cheatsheets/vimscript-functions.md	Dictionaries and lists	
veto_headings	eng	heading	cheatsheets/ronn.md	Using with npm	
veto_headings	eng	heading	cheatsheets/goby.md	Method definition	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::Geolocation	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::PhoneNumberAU	
veto_headings	eng	heading	cheatsheets/fish-shell.md	Useful built-in functions	
veto_headings	eng	heading	cheatsheets/awesome-redux.md	Awesome Redux	
veto_headings	eng	heading	cheatsheets/claude-code.md	IDE Integrations	
veto_headings	eng	heading	cheatsheets/git-revisions.md	Git revisions	
veto_headings	eng	heading	cheatsheets/rails-migrations.md	Rails migrations	
veto_headings	eng	heading	cheatsheets/rails-controllers.md	Rails controllers	
veto_headings	eng	heading	cheatsheets/pry.md	Shell integration	
veto_headings	eng	heading	cheatsheets/ronn.md	Frequently-used sections	
veto_headings	eng	heading	cheatsheets/clip.md	Command Line Interface Pages	
veto_headings	eng	heading	cheatsheets/docker-compose.md	docker-compose	
veto_headings	eng	heading	cheatsheets/vimscript-snippets.md	Vimscript snippets	
veto_headings	eng	heading	cheatsheets/ansible-examples.md	Ansible examples	
veto_headings	eng	heading	cheatsheets/goby.md	Enumerator & lazy	
veto_headings	eng	heading	cheatsheets/css-system-font-stack.md	CSS system fonts	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::HTMLIpsum	
veto_headings	eng	heading	cheatsheets/lua.md	Operators (and their metatable names)	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::PhoneNumber	
veto_headings	eng	heading	cheatsheets/sass.md	Other functions	
veto_headings	eng	heading	cheatsheets/go.md	Error control	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::Internet	
veto_headings	eng	heading	cheatsheets/packs.md	Manage packs	
veto_headings	eng	heading	cheatsheets/ledger-format.md	Ledger format	
veto_headings	eng	heading	cheatsheets/typescript.md	Type assertions	
veto_headings	eng	heading	cheatsheets/jest.md	Mock functions	
veto_headings	eng	heading	cheatsheets/analytics.js.md	Google Analytics's analytics.js	
veto_headings	eng	heading	cheatsheets/command_line.md	wc (Word count)	
veto_headings	eng	heading	cheatsheets/postgresql-json.md	More examples	
veto_headings	eng	heading	cheatsheets/css-antialias.md	CSS antialiasing	
veto_headings	eng	heading	cheatsheets/html-meta.md	HTML meta tags	
veto_headings	eng	heading	cheatsheets/rails-routes.md	Single resource (`resource`)	
veto_headings	eng	heading	cheatsheets/nodejs-path.md	Node.js path API	
veto_headings	eng	heading	cheatsheets/cordova.md	Apache Cordova	
veto_headings	eng	heading	cheatsheets/ffaker.md	Faker::NameSN	
veto_headings	eng	heading	cheatsheets/http-status.md	WebDAV Status Codes	
veto_headings	rus	heading	notes/databases/redis/use-cases.md	Rate limiting	
veto_headings	rus	heading	notes/llm/eval-metrics.md	hit@k (он же recall@k на одном релевантном)	
veto_headings	rus	heading	notes/protocols/protobuf.md	Эволюция схемы	
veto_headings	rus	heading	notes/databases/redis/basics.md	Модель выполнения	
veto_headings	rus	heading	notes/tools/git-fork-workflow.md	Git на форке (upstream-конфликты)	
veto_headings	rus	heading	notes/languages/ruby/blocks-procs-lambdas.md	proc vs lambda — 2 отличия (главное на собес)	
veto_headings	rus	heading	notes/messaging/nats.md	Где выбирать	
veto_headings	rus	heading	notes/protocols/graphql.md	Минусы и грабли	
veto_headings	rus	heading	notes/messaging/comparison.md	Среди брокеров	
veto_headings	rus	heading	notes/protocols/protobuf.md	Номера полей (ключевое)	
veto_headings	rus	heading	notes/databases/postgresql/window-functions.md	Оконные функции (window functions)	
veto_headings	rus	heading	notes/databases/redis/use-cases.md	Распределённые локи	
veto_headings	rus	heading	notes/databases/postgresql/locks.md	Блокировки (PostgreSQL)	
veto_headings	rus	heading	notes/databases/redis/basics.md	Масштабирование и отказоустойчивость	
veto_headings	rus	heading	notes/messaging/rabbitmq.md	Kafka vs RabbitMQ (коротко)	
veto_headings	rus	heading	notes/languages/ruby/concurrency-gvl.md	GVL / concurrency	
veto_headings	rus	heading	notes/protocols/grpc.md	gRPC vs REST/JSON	
veto_headings	rus	heading	notes/messaging/comparison.md	Две разные вещи	
veto_headings	rus	heading	notes/protocols/protobuf.md	Protocol Buffers (protobuf)	
